Epoch,Loss,NDCG@10,HR@10
1,3.4107937812805176,0.02000213587336391,0.15248344370861258
2,2.043134927749634,0.03041291127787573,0.20910596026490616
3,1.4624038934707642,0.028092339517505616,0.20529801324503846
4,1.2751153707504272,0.030543462694620768,0.20761589403974054
5,1.1790215969085693,0.030065999147289274,0.20596026490066763
6,1.1310017108917236,0.030642413881400564,0.1991721854304687
7,1.0875605344772339,0.029409958477014574,0.1951986754966937
8,1.080864429473877,0.031045626393322524,0.20711920529801867
9,1.0416594743728638,0.030963507882037836,0.20496688741722388
10,1.0355461835861206,0.03016922438788548,0.19966887417219056
11,1.0233756303787231,0.030356123331844162,0.20430463576159472
12,0.9872874617576599,0.03088162590697209,0.20943708609272074
13,0.9568423628807068,0.030761768827183508,0.21456953642384677
14,0.8762810230255127,0.03142988026361026,0.2158940397351051
15,0.8330714106559753,0.030769231758832723,0.2102649006622572
16,0.7911263108253479,0.03242139609026947,0.21672185430464155
17,0.7769201993942261,0.032011063125902704,0.22086092715232383
18,0.7738293409347534,0.033383598723046824,0.22384105960265507
19,0.7298895120620728,0.033768383796936495,0.22566225165563528
20,0.6963430643081665,0.03194553971915267,0.21804635761589988
21,0.6725698113441467,0.03234349465913479,0.221523178807953
22,0.6502255797386169,0.03186152641935428,0.2213576158940457
23,0.6407430768013,0.032427811615823095,0.2195364238410655
24,0.6100248098373413,0.03242261854757818,0.2288079470198738
25,0.5868545174598694,0.03163198576209928,0.21920529801325092
26,0.5757020711898804,0.0317685349128791,0.21324503311258844
27,0.5591097474098206,0.031364592900435515,0.21175496688742282
28,0.5692636966705322,0.03215871671191694,0.21523178807947593
29,0.5334749817848206,0.0325632663095412,0.2177152317880853
30,0.5170212388038635,0.03305208416619386,0.2177152317880853
31,0.509443998336792,0.03277313075070231,0.22036423841060196
32,0.4933301508426666,0.033320985056089936,0.2235099337748405
33,0.4894191324710846,0.03215520277860532,0.2177152317880853
34,0.48450708389282227,0.03302156968145498,0.21903973509934363
35,0.4697669744491577,0.03197650310546658,0.2158940397351051
36,0.4547727108001709,0.03245073895608575,0.21887417218543634
37,0.43236538767814636,0.031568111533992506,0.21705298013245614
38,0.42742764949798584,0.031950022399803574,0.21986754966888009
39,0.4105638563632965,0.03201139655095325,0.2197019867549728
40,0.4115545451641083,0.031733514409048244,0.21324503311258844
41,0.3992573916912079,0.031333066336006576,0.21324503311258844
42,0.38190174102783203,0.031611303709915314,0.22069536423841654
43,0.3791608512401581,0.03187811011340587,0.21705298013245614
44,0.3729749917984009,0.03131652085601549,0.2177152317880853
45,0.35275667905807495,0.032617997169654286,0.221523178807953
46,0.3426001965999603,0.031265192068625686,0.21539735099338322
47,0.3346123695373535,0.03204032272309166,0.21622516556291968
48,0.3272528350353241,0.032469742766948625,0.21986754966888009
49,0.31203800439834595,0.03183627123473516,0.21241721854305198
50,0.3105687201023102,0.03224419218467364,0.2193708609271582
